body,date,retweets,favorites,mentions,hashtags,geo
"Assisti e: poxa, dispensável darem motivação heróica pro Deadpool né? Queria mais escracho, foi um filme de herói com piadas medianas.",2016-02-21 18:58:03,0,0,,,
I liked a @YouTube video http:// youtu.be/mME_ZRvTmwA?a Deadpool - movie review,2016-02-21 18:58:01,0,0,@YouTube,,
pensando aqui quem vou escolher pra ser minha companhia pra assistir deadpool,2016-02-21 18:58:01,0,0,,,
I seen deadpool and don't understand why would people have they kids in there watching it,2016-02-21 18:58:00,0,0,,,
DEADPOOL WAS FUXKING AMAZING IM IN LOVE,2016-02-21 18:58:00,1,7,,,
Anyone down to see DeadPool tonight? 9:45 showing.,2016-02-21 18:57:58,0,1,,,
Vo ver deadpool,2016-02-21 18:57:58,0,0,,,
Deadpool Dominates U.s. Box Office: http:// bit.ly/21jqeMJ,2016-02-21 18:57:56,0,0,,,
"#content for whiz kids #Deadpool #Marketing , #Humor in #SocialMedia and How To Step Up Your Marketing Message http:// brev.is/qLqB #sales",2016-02-21 18:57:56,0,0,,#content #Deadpool #Marketing #Humor #SocialMedia #sales,
"Shaved my legs, 'cause I'm Deadpool . pic.twitter.com/MP4TpmltNX",2016-02-21 18:57:55,0,0,,,
@scafftv @DrathianGull @Mr_Morefun Watching Deadpool,2016-02-21 18:57:55,0,0,@scafftv @DrathianGull @Mr_Morefun,,
@kpmartin Deadpool beat star wars vii's record in the russian box office. Fun fact for ya.,2016-02-21 18:57:53,0,0,@kpmartin,,
"(at @Cinemex for Deadpool in Benito Juárez, DF w/ @robotiqui ) https://www. swarmapp.com/c/fE1eMB3y3Vg",2016-02-21 18:57:52,0,1,@Cinemex @robotiqui,,
"“ Deadpool ” gets cancer right: Debunking the “hero” survivor myth, one smart-aleck joke at a time http://www. salon.com/2016/02/21/dea dpool_gets_cancer_right_debunking_the_hero_survivor_myth_one_smart_aleck_joke_at_a_time/ … via @Salon",2016-02-21 18:57:50,0,0,@Salon,,
"Entre deadpool , la ruta nocturna y el paseo con los perros se ha quedado un gran finde",2016-02-21 18:57:49,0,0,,,
Deadpool es mi nueva película favorita,2016-02-21 18:57:49,1,1,,,
I was really disappointed in deadpool,2016-02-21 18:57:49,0,0,,,
"Supergirl, She-Hulk, and The Flash are on my team. I am Deadpool ! http:// fb.me/7NCNhKQFw",2016-02-21 18:57:49,0,0,,,
deadpool a wild movie but entertaining,2016-02-21 18:57:48,0,0,,,
I have watched #Deadpool ... L pic.twitter.com/TOPdVCzVJd,2016-02-21 18:57:47,0,0,,#Deadpool,
Deadpool c'est archi bien,2016-02-21 18:57:46,0,0,,,
Acabei de assistir Deadpool . Dá pra devolver o dinheiro do ingresso?,2016-02-21 18:57:45,0,1,,,
Estou aqui esperando pra ver Deadpool,2016-02-21 18:57:45,0,0,,,
"Cable, seu lindo! s2 #cable #deadpoolmovie2 #deadpool #xmen #xforce #comics #love #deadpoolmovie … https://www. instagram.com/p/BCEUy2hBgwU/",2016-02-21 18:57:43,0,0,,#cable #deadpoolmovie2 #deadpool #xmen #xforce #comics #love #deadpoolmovie,
Gostei de um vídeo @YouTube de @viihferreiratm http:// youtu.be/EJpARq2rfR4?a Deadpool ll Player Red,2016-02-21 18:57:37,0,1,@YouTube @viihferreiratm,,
Che acuerdense que deadpool viene de un COMIC,2016-02-21 18:57:36,0,1,,,
This is fucking amazing. #deadpool pic.twitter.com/S3WhAPV5JU,2016-02-21 18:57:34,0,0,,#deadpool,
I needa go see Deadpool,2016-02-21 18:57:33,0,4,,,
why am i not watching deadpool right now,2016-02-21 18:57:32,0,4,,,
¿Qué tiene un camello con tres jorobas???... No Ser DEADPOOL !!!! #QuieroVerDeadpool,2016-02-21 18:57:32,0,0,,#QuieroVerDeadpool,
finally watching deadpool !,2016-02-21 18:57:30,0,3,,,
"Deadpool c'est de l'humour, du trash, des bonnes scènes de baston.... et 35 min inutiles qui viennent gâcher le truc... Dommage vraiment.",2016-02-21 18:57:26,0,0,,,
"I hope the next deadpool movie if any has no love interests, tired of superhero movies like that",2016-02-21 18:57:24,0,0,,,
@Ryan5SOS_ deadpool,2016-02-21 18:57:22,0,1,@Ryan5SOS_,,
I liked a @YouTube video http:// youtu.be/LqueOXGHYJM?a Collider Mail Bag - Who Should Play Cable In Deadpool 2?,2016-02-21 18:57:22,0,0,@YouTube,,
"Quando Deadpool (filme incrível, por sinal) possui mais sanidade que… https://www. instagram.com/p/BCEUv11CiTat YfqY84mdw-kkA07wdJgoPLrkAY0/ …",2016-02-21 18:57:20,0,0,,,
Quero assistir deadpool,2016-02-21 18:57:20,1,0,,,
I liked a @YouTube video from @theepiclloyd http:// youtu.be/g708PmJAbuI?a Deadpool vs Boba Fett. Epic Rap Battles of History - Bonus Battle!,2016-02-21 18:57:20,0,0,@YouTube @theepiclloyd,,
' Deadpool ': Why Its Box Office Blowout Terrifies Me http:// ift.tt/1SUlE6u via #Tashify .com #MavoTV .com,2016-02-21 18:57:18,0,0,,#Tashify #MavoTV,
One of my favorite #Marvel characters....lets see if the hype is warranted!!! #Deadpool @… https://www. instagram.com/p/BCEUvinPv6Z/,2016-02-21 18:57:17,0,0,@,#Marvel #Deadpool,
I'm giving away something for you on @Listia : DeadPool Keychain. Get it here - http://www. listia.com/r1vpffj/8331030,2016-02-21 18:57:17,0,0,@Listia,,
@MarvelMovieNews Copycat was de-powered to be Vanessa in Deadpool . Would ya'll discuss the rampant depowering of comicbook women in film/TV?,2016-02-21 18:57:15,0,0,@MarvelMovieNews,,
Deadpool was fucking amazing,2016-02-21 18:57:13,0,1,,,
"They joked about it, but I actually wouldn’t mind if Keira Knightley played Cable in Deadpool 2",2016-02-21 18:57:12,0,4,,,
When DMX started playing in Deadpool I got way too hype #McDowellHoopsMemories,2016-02-21 18:57:10,1,7,,#McDowellHoopsMemories,
@smichaelmadden I hope ' Deadpool 's success pissed off E.L. James. and the gossip rags why hyped her garbage!,2016-02-21 18:57:09,0,0,@smichaelmadden,,
Quiero ir al cine che quiero ver #Deadpool,2016-02-21 18:57:08,0,0,,#Deadpool,
Deadpool mis bolas .I. Me tienen mamado con esa mierda,2016-02-21 18:57:07,0,0,,,
