0,Compound_Score,Negative_Score,Positive_Score,Neutral_Score
happy death day director days shoot key scene,-0.3818,0.42,0.247,0.333
tryna go happy death day,-0.0516,0.368,0.349,0.283
happy death day looks like movie people think talking aliens deep,0.3182,0.215,0.343,0.442
know hell happy death day rotten movie absolute,-0.8442,0.605,0.19,0.205
kind day,0.5267,0.0,0.773,0.227
neutral,0.0,0.0,0.0,1.0
wanna go see happy death day bad,-0.5719,0.49,0.245,0.265
happy death day good happy death day,0.3612,0.388,0.512,0.1
someone take see happy death day tonight,-0.0516,0.31,0.294,0.397
muy divertida happy death day la gamberra que con una protagonista,-0.0516,0.235,0.223,0.542
going laughing ass lots fun crying waterfalls love,0.6249,0.325,0.527,0.148
happy enjoy movie billboards celebrate,0.891,0.0,0.841,0.159
si al final del pudieras volver de octubre en,0.0,0.0,0.0,1.0
wanna go movies watch happy death day somethin,-0.0516,0.287,0.272,0.441
fakta menarik dari lokasi syuting film happy death day,-0.0516,0.267,0.253,0.479
pretty sure horror movies pioneering new marketing trend call dumb name dumb name bye happy death day,-0.7184,0.425,0.275,0.299
taught live day like last,0.3612,0.0,0.385,0.615
happy death day great one,0.5994,0.285,0.569,0.146
share happy death day know comes today,0.25,0.283,0.428,0.29
happy death day,-0.0516,0.453,0.43,0.116
happy death day going reviewed preview help ldctw,0.3612,0.255,0.418,0.327
wish could go see happy death day instead going work,0.3612,0.225,0.37,0.405
going see happy death day due whole trailer telling,-0.0516,0.267,0.253,0.479
ads every dam youtube cant skip,0.0,0.0,0.0,1.0
beyond thirsty happy death day come,-0.0516,0.336,0.319,0.345
happy death day,-0.0516,0.453,0.43,0.116
happy death day,-0.0516,0.453,0.43,0.116
movie better right go see happy death day,0.4019,0.252,0.426,0.323
wanna see happy death day tf,-0.0516,0.336,0.319,0.345
feels good imma make love bed crash tf,0.6597,0.182,0.48,0.338
see happy death day tbh,-0.0516,0.368,0.349,0.283
seeing happy death day tonight,-0.0516,0.368,0.349,0.283
happy death day lidera las carteleras en eeuu,-0.0516,0.287,0.272,0.441
happy death day,-0.0516,0.453,0.43,0.116
going see today,0.0,0.0,0.0,1.0
really wanna go movies see happy death day shit w bae tho,-0.5859,0.391,0.193,0.417
happy death day,-0.0516,0.453,0.43,0.116
wanna see happy death day,-0.0516,0.368,0.349,0.283
words tv full review happy death day plus weekend,-0.0516,0.267,0.253,0.479
jackie chan gets dramatic drops hammers,0.0,0.0,0.0,1.0
happy death day,-0.0516,0.453,0.43,0.116
want go see happy death day tonight,0.0258,0.302,0.388,0.31
opening foreigner happy death day victoria abdul,-0.0516,0.31,0.294,0.397
feel like happy death day one movie right raise arms mid theater,0.3182,0.204,0.325,0.471
feel bad going see happy death day instead lol,-0.2263,0.392,0.344,0.265
horror groundhog gets bit motive murderer super,-0.6597,0.512,0.241,0.247
happy death day lil u fizzled turned chick horrible plot,-0.5719,0.433,0.216,0.351
anyone want go see,0.0772,0.0,0.302,0.698
happy death day good movie,0.4019,0.312,0.528,0.16
want go see happy death day,0.0258,0.328,0.42,0.252
okay thrillers great loved go watch movie right mixture humor suspense,0.9022,0.0,0.686,0.314
happy death day via,-0.0516,0.406,0.385,0.208
gonna go see happy death day later w babe,-0.0516,0.287,0.272,0.441
wait see next work,0.0,0.0,0.0,1.0
scary movies came happy death day shit look scary,-0.8807,0.644,0.171,0.185
quiero ver happy death day,-0.0516,0.368,0.349,0.283
estreno,0.0,0.0,0.0,1.0
ce regard vous jette quand se rend compte que,0.0,0.0,0.0,1.0
seeing happy death day weekend,-0.0516,0.368,0.349,0.283
might go see happy death day tomorrow,-0.0516,0.31,0.294,0.397
neutral,0.0,0.0,0.0,1.0
definitely seeing happy death day tonight,0.3612,0.293,0.481,0.226
googletrend happydeathday,0.0,0.0,0.0,1.0
wanna go see happy death day,-0.0516,0.336,0.319,0.345
time ticking finalize pick watch,0.0,0.0,0.0,1.0
wonder many howard students recognize nigga screaming happy death day advanced,-0.2023,0.339,0.297,0.365
want see,0.0772,0.0,0.565,0.435
wanna go see happy death day wit bae,-0.0516,0.287,0.272,0.441
guess got,0.0,0.0,0.0,1.0
happy death day even look remotely interesting,0.3612,0.273,0.448,0.28
happy death day seems like decent,0.3182,0.298,0.473,0.229
si tu en crisis convierte en de,-0.6249,0.406,0.0,0.594
liked groundhog day better called happy death day,0.6705,0.225,0.543,0.231
friday today,0.0,0.0,0.0,1.0
good luck today,0.7096,0.0,0.855,0.145
happy death day beware,-0.0516,0.406,0.385,0.208
reviews easily happy,0.7269,0.0,0.859,0.141
hope happy death day doesnt suck,0.6256,0.262,0.604,0.134
friday lml wait see movie happy death day,-0.0516,0.287,0.272,0.441
wants go see happy death day,-0.0516,0.336,0.319,0.345
apparently seeing happy death day hopefully goes something like,0.6124,0.219,0.5,0.281
happy death day director days shoot key scene,-0.3818,0.42,0.247,0.333
happy death day,-0.0516,0.453,0.43,0.116
wanna see happy death day bad,-0.5719,0.525,0.262,0.213
want see happy death day today,0.0258,0.328,0.42,0.252
tryna go see happy death day,-0.0516,0.336,0.319,0.345
happy death day one movies look dumb still slightway wanna see ctfu,-0.5423,0.362,0.186,0.452
wanna go see happy death day,-0.0516,0.336,0.319,0.345
going watch happy death day tonight,-0.0516,0.336,0.319,0.345
happy death day killer roommate,-0.6705,0.59,0.266,0.144
wants go see happy death day probably end going,-0.0516,0.267,0.253,0.479
wanna see happy death day tonight,-0.0516,0.336,0.319,0.345
happy death day comes today,-0.0516,0.368,0.349,0.283
wanna see happy death day omg,-0.0516,0.336,0.319,0.345
lo mejor de happy death day es que sabe lo que es sobre de muy disfrutona,-0.0516,0.181,0.171,0.648
happy death day coming,-0.0516,0.406,0.385,0.208
wow haha already death day upon us happy death day,0.4019,0.335,0.451,0.215
c new jackie chan movie happy death day,-0.0516,0.31,0.294,0.397
aku nak tengok happy death day,-0.0516,0.336,0.319,0.345
neutral,0.0,0.0,0.0,1.0
definitely going see happy death day,0.3612,0.293,0.481,0.226
happy death day thoroughly,-0.0516,0.406,0.385,0.208
movie coming,0.0,0.0,0.0,1.0
neutral,0.0,0.0,0.0,1.0
ur birthday today happy birthday day try die,-0.0516,0.287,0.272,0.441
anyone watch happy death day,-0.0516,0.368,0.349,0.283
happy death day lidera las carteleras,-0.0516,0.336,0.319,0.345
fun little inspired project,0.7357,0.0,0.756,0.244
happy death day estreou,-0.0516,0.406,0.385,0.208
pray,0.3182,0.0,1.0,0.0
happy death day gone b lit tonight,-0.0516,0.336,0.319,0.345
happy may today bring check,0.5719,0.0,0.481,0.519
seeing happy death day tonight,-0.0516,0.368,0.349,0.283
wanna see happy death day,-0.0516,0.368,0.349,0.283
wanna go see happy death day movie tonight weekend,-0.0516,0.267,0.253,0.479
anybody tryna go catch happy death day,-0.0516,0.31,0.294,0.397
finding happy death day like yeah probably going amazing,0.8074,0.194,0.607,0.199
telling boyfriend want go see happy death day surprised im happy omg,0.6908,0.181,0.493,0.326
movie right movie sick love,0.2263,0.314,0.4,0.286
really tryin see happy death day maybe tonight tmr,0.0164,0.262,0.267,0.471
happy death day,-0.0516,0.453,0.43,0.116
thanx slasher league scream final top job,-0.2263,0.284,0.189,0.526
groundhog day meets slasher finds,0.0,0.0,0.0,1.0
happy death day sometimes slays writes,-0.0516,0.336,0.319,0.345
wanna go see happy death day tonight,-0.0516,0.31,0.294,0.397
happy death day,-0.0516,0.453,0.43,0.116
liked video happy death day movie review,0.3818,0.271,0.451,0.278
hoy sale happy death day,-0.0516,0.368,0.349,0.283
lagi musim film dengan tema seperi ini ya bsk happy death day sebelumnya jg lupa judulnya,-0.0516,0.181,0.171,0.648
going see happy death day pg ppbbhhttt pass,-0.0516,0.287,0.272,0.441
happy death day,-0.0516,0.453,0.43,0.116
liked video happy death day movie review,0.3818,0.271,0.451,0.278
happy death day,-0.0516,0.453,0.43,0.116
someone see happy death day tonight,-0.0516,0.336,0.319,0.345
actually going see horror movie friday might first time ever done,-0.5719,0.27,0.0,0.73
imagine murder flawed victim must save happy death day,-0.5859,0.495,0.319,0.185
liked video happy death day movie review,0.3818,0.271,0.451,0.278
happy death day annoyed lol,0.0,0.464,0.464,0.071
idky wanna see happy death day today,-0.0516,0.31,0.294,0.397
wanna go see happy death day tonight,-0.0516,0.31,0.294,0.397
tryna watch happy death day,-0.0516,0.368,0.349,0.283
happy death day,-0.0516,0.453,0.43,0.116
definitely seeing happy death day today,0.3612,0.293,0.481,0.226
waiting forever go see happy death day movie look raw,-0.0516,0.25,0.237,0.513
happy friday,0.5719,0.0,0.787,0.213
liked video happy death day reviews,0.3818,0.291,0.485,0.224
peter sobczynski films neglected,-0.5267,0.531,0.0,0.469
happy death day get thrown porta potty ily,0.6369,0.229,0.476,0.294
happy death day seems interesting probably end shit show like movies,0.1027,0.335,0.397,0.268
anyone wanna go see,0.0,0.0,0.0,1.0
looking forward never knew much wanted horror version groundhog day saw,-0.5719,0.27,0.0,0.73
wanna see happy death day,-0.0516,0.368,0.349,0.283
christopher landon creates fun formulaic horror writes,0.1779,0.282,0.412,0.305
happy death day yet another riff groundhog,-0.0516,0.31,0.294,0.397
lightweight wanna watch happy death day,-0.0516,0.336,0.319,0.345
theatres,0.0,0.0,0.0,1.0
con vas ver este,0.0,0.0,0.0,1.0
fakta menarik dari lokasi syuting film happy death day,-0.0516,0.267,0.253,0.479
friday tattoos eagles ezekiel elliott happy death day bitcoin friday unesco,-0.0516,0.235,0.223,0.542
read tweet reviews bout happy death day mas natrigger akong panoorin ewan ko lang kung bukas ayain ko officemates ko sa,-0.0516,0.147,0.139,0.714
need see happy death day today,-0.0516,0.336,0.319,0.345
watching original movie might see happy death day next enjoy,0.6486,0.204,0.482,0.314
happy death day,-0.0516,0.453,0.43,0.116
happy death day among new releases,-0.0516,0.336,0.319,0.345
movies tonight,0.0,0.0,0.0,1.0
neutral,0.0,0.0,0.0,1.0
today coming premiere,0.0,0.0,0.0,1.0
bueno pues hoy veremos happy death day,-0.0516,0.31,0.294,0.397
happy death day bad genius,-0.5719,0.565,0.282,0.153
movies playing tonight happy death day marshall,0.1531,0.291,0.41,0.299
es buena buena,0.0,0.0,0.0,1.0
wait see tonight,0.0,0.0,0.0,1.0
oh naaaaaah trash traumatized niggas said talking happy death day,-0.6486,0.481,0.198,0.321
going see,0.0,0.0,0.0,1.0
brief thoughts happy death day goofy horror pleasures,-0.25,0.418,0.363,0.22
mean happy birthday,0.5719,0.0,0.649,0.351
fakta menarik dari lokasi syuting film happy death day,-0.0516,0.267,0.253,0.479
think groundhog,0.0,0.0,0.0,1.0
think groundhog,0.0,0.0,0.0,1.0
think groundhog,0.0,0.0,0.0,1.0
think groundhog,0.0,0.0,0.0,1.0
think groundhog,0.0,0.0,0.0,1.0
think groundhog,0.0,0.0,0.0,1.0
think groundhog,0.0,0.0,0.0,1.0
happy death day dumb movie save coins,-0.0772,0.421,0.404,0.175
director days shoot key scene,-0.34,0.375,0.0,0.625
director days shoot key scene thr,-0.34,0.324,0.0,0.676
wanna see happy death day,-0.0516,0.368,0.349,0.283
watching happy death day,-0.0516,0.406,0.385,0.208
wanna see happy death day,-0.0516,0.368,0.349,0.283
happy death day,-0.0516,0.453,0.43,0.116
waiting happy death day movie come like finally,0.3182,0.258,0.411,0.331
wait see happy death day paycheck need hurry,-0.0516,0.287,0.272,0.441
wanna go see happy death day today,-0.0516,0.31,0.294,0.397
neutral,0.0,0.0,0.0,1.0
gonna come see happy death day,-0.0516,0.336,0.319,0.345
look,0.0,0.0,0.0,1.0
movie date night teddy bear,0.0,0.0,0.0,1.0
saw happy death day last save,0.4588,0.283,0.5,0.217
imagine murder flawed victim must save happy death day,-0.5859,0.495,0.319,0.185
happy death day,-0.0516,0.453,0.43,0.116
beautiful,0.5994,0.0,1.0,0.0
director days shoot key scene,-0.34,0.375,0.0,0.625
going see happy death day,-0.0516,0.368,0.349,0.283
liked video happy death day movie review,0.3818,0.271,0.451,0.278
director days shoot key scene,-0.34,0.375,0.0,0.625
happy death day look like movie equivalents trailer park dumpster,0.1779,0.311,0.35,0.339
hope get see happy death day,0.4019,0.289,0.489,0.222
hantu la happy death day,-0.0516,0.368,0.349,0.283
need somebody go see happy death day,-0.0516,0.31,0.294,0.397
happy death day silly horror movie laughs scares,-0.4588,0.5,0.4,0.1
happy death day,-0.0516,0.453,0.43,0.116
jeremy cake eats happy death day,-0.0516,0.336,0.319,0.345
boyfriend bought us tickets happy death day excited,0.296,0.26,0.407,0.333
wanna see happy death day,-0.0516,0.368,0.349,0.283
expecting bootlegged copy happy death day niggas uptown tomorrow let,-0.3818,0.371,0.218,0.412
watched happy death day like mean girls serial,0.3182,0.258,0.411,0.331
wanna go see happy death day,-0.0516,0.336,0.319,0.345
happy death day tonight,-0.0516,0.406,0.385,0.208
bday release happy death day,-0.0516,0.368,0.349,0.283
really want somebody take see happy death day,0.101,0.275,0.373,0.352
happy death day comes today,-0.0516,0.368,0.349,0.283
gonna go see happy death day gonna one new amc dine,-0.0516,0.235,0.223,0.542
happy death day comes today im going go see,-0.0516,0.267,0.253,0.479
nak tgok happy death day tu hemmmmmmmmmm,-0.0516,0.31,0.294,0.397
happy death day date,-0.0516,0.406,0.385,0.208
want see american assassin husband movie buttttt happy death day looks pretty funny idk,0.7003,0.217,0.455,0.328
good movies theaters,0.4404,0.0,0.592,0.408
whose trying see happy death day w,-0.0516,0.336,0.319,0.345
plus jackie chan murder repeats happy death day full list,-0.7096,0.446,0.192,0.363
want go see movie happy death day tonight tomorrow wants,0.0258,0.245,0.314,0.44
happy death day,-0.0516,0.453,0.43,0.116
shut go see happy death day tessa tonight,-0.0516,0.287,0.272,0.441
wanna go see happy death day,-0.0516,0.336,0.319,0.345
happy death day good movie rare say nowadays,0.4019,0.252,0.426,0.323
happy death day tonight esketitt,-0.0516,0.368,0.349,0.283
coming see happy death day w,-0.0516,0.368,0.349,0.283
happy death day,-0.0516,0.453,0.43,0.116
think groundhog,0.0,0.0,0.0,1.0
seeing happy death day later phew,-0.0516,0.336,0.319,0.345
hope happy death day good,0.6808,0.271,0.66,0.069
someone go see happy death day,-0.0516,0.336,0.319,0.345
think get go see happy death day waiting like months happy thoughts try kill anyone,0.0772,0.302,0.347,0.351
hoje vou ver happy death day espero q seja bomm,-0.0516,0.267,0.253,0.479
happy death day wait mo ko,-0.0516,0.336,0.319,0.345
think groundhog,0.0,0.0,0.0,1.0
think groundhog,0.0,0.0,0.0,1.0
drops today colossally fantastic human directed see,0.5574,0.0,0.375,0.625
seriously debating whether see happy death day little pony movie none right judge,-0.2263,0.29,0.192,0.518
happy death day sugary sweet horror films via,-0.2263,0.415,0.366,0.219
even happydeathday sure movies like ouija annabelle made hope china cover,0.7717,0.0,0.49,0.51
happy death day comes today wig,-0.0516,0.336,0.319,0.345
im frfr gonna go see everyone stay safe todays date,0.4404,0.0,0.244,0.756
nood tayong happy death day hahahaha,-0.0516,0.336,0.319,0.345
wassup taking go see happy death day,-0.0516,0.31,0.294,0.397
really excited go see happy death day,0.3597,0.273,0.447,0.28
happy death day,-0.0516,0.453,0.43,0.116
think groundhog,0.0,0.0,0.0,1.0
brother going see happy death day tomorrow,-0.0516,0.31,0.294,0.397
